Strain,Type,Rating,Effects,Flavor,Description,labels
KTrain,indica,4,EuphoricHappyUpliftedRelaxedCreative,CitrusTreeFruitLemon,KTrain is a mostly indica strain that was developed by Greenhouse Seeds as a cross between OG Kushand Trainwreck These parents are both popular in their own right and were chosen to try and combine their prized effects the musclerelaxant qualities of OG Kush with the lucid mental buzz that Trainwreck induces Once you get on the KTrain be prepared to sit back and relax with something creative for a while Thanks to its potency its a popular medical choice to treat depression stress disorders and pain for patients who want to relax without total sedation Still a strong indica the KTrain hits you hard and fast and may prove to be an intense ride for some These plants are easy to grow and should flower in 9 weeks with the oversized buds that are characteristic of its Trainwreck lineage KTrains Kush genetics dominate the aroma making it sweet and earthy with a hint of black licorice,1
Kc36,indica,4,SleepyRelaxedUpliftedEuphoricHungry,SweetBlueberryGrape,Cultivated by KC Brains KC36 is an indica strain bred specifically to flourish at high latitudes A cross between White Widow and KC 606 these frosty and compact buds deliverfullon bodyrelaxation alongside a sweet and spicy floral aroma The peaceful introspective qualities of KC 36 make this indica a perfect pair for meditation and enjoying nature,1
Kaboom,sativa,4,EnergeticHappyUpliftedCreativeEuphoric,LemonPineEarthy,Kaboom is acrossthat combinesJacks Cleanergenetics with those ofVortexThis sativadominant strain gives you an energetichead buzz that provides a spark of creativityand lifts the mood Medical patients enjoy Kabooms ability torelieve pain while maintaining daily functions,0
Kahuna,indica,4,UpliftedEuphoricRelaxedCreativeFocused,SweetOrangeTropical,Kahuna is a 4way cross between Super Skunk Big Skunk Korean Jack Herer and Afghan Hawaiianthat brings together a wide set of influences for a complex high The Kahuna variety has both tropical influences in its parentageand spiritually attuning effects when used,1
Kali47,sativa,5,UpliftedCreativeEnergeticEuphoricHappy,SweetVanilla,Kali 47 is a mostly sativa strain that is characterized by sweet fruity flavors with hints of caramel For many patients Kali 47 may relieve an array of symptoms including depression pain and stress A cross between Kali Mist and AK47 Kali 47 delivers happy euphoric effects that allow the mind to stay agile while relaxing the body This sativa is easy to grow making it an ideal choice for novice cultivators,0
KaliChina,indica,4,CreativeRelaxedEuphoricSleepyTalkative,SpicyHerbalMintyPepper,Kali China bred by AceSeeds is a 75 indica strain that combines an uplifting Kali Mist with the potent China Yunnan This strain inherits stimulating and engaging effects from its sativa parent along with a short flowering time from the China Yunnan indica Aromas of sweet mango intermix with earthy notes of hash and spice in an intricate flavor profile Kali Chinas effects command relaxation but leave the mind nimble enough for conversation and focus When grown indoors Kali China finishes flowering after 45 to 55 days while outdoor gardens complete their bloom during the SeptemberOctober transition,1
KaliMist,sativa,4,EnergeticFocusedUpliftedEuphoricCreative,WoodyEarthyCitrus,Kali Mist is known to deliver clearheadedenergeticeffects that can verge on psychedelic at times Despite having an unknown genetic history Kali Mist is believed to have originated in the 1990s through crossing twosativadominanthybrids This lightweight sativa is a perfect choice for consumers looking to maintain focus and productivity throughout their day,0
Kandahar,indica,4,RelaxedSleepyEuphoricUpliftedGiggly,ApricotEarthySpicyHerbal,Kandahar named after the homeland of its ancestor is a 90 indica strain bred by the Ministry of Cannabis Its Afghani parent grown near the city of Kandahar was crossed with an unknown AfghanSkunk hybrid to help lighten some of the indica intensity The result is a powerful but functional strain that goes best with relaxing activities at home Its aroma is a complex blend of earthy wood with nutty undertones that are only fully realized in Kandahars taste Kandahar exhibits the typical indica stature short bushy plants with thick layers of crystal trichomes Indoor gardens finish flowering between 8 and 9 weeks while outdoor harvest falls at the beginning of October,1
KatsuBubbaKush,indica,4,RelaxedUpliftedHappyEuphoricGiggly,LimeSweetMinty,Katsu Bubba Kush is a unique Bubba Kush phenotype with a deep floral terpene profile Representing its genetic namesake in appearance and bud structure Katsu Bubbas nugs are dense and resinous This strains high THC content hits the consumer with powerful euphoria that cascades over the body relaxing and weighing down extremities Utilize Katsu Bubba Kush to help with insomnia nausea and minor pain Also anticipate strong appetite stimulation ,1
KatsuKush,indica,4,RelaxedSleepyEuphoricHappyUplifted,EarthySweetWoody,Katsu Kush or just Katsu is an indica cannabis strain that descends from the hardy Hindu Kush landraces This indica is named after the original breeders alias and has garnered a reputation for its powerful fullbody effects that leave you blissfully stuck to the couch Some phenotypes of Katsu Kush exhibit higher levels of CBD so patients treating pain inflammation and anxiety should keep an eye out for this type With a sweet earthy flavor Katsu Kush offers a solution for stressful days and sleepless nights,1
KauaiElectric,sativa,4,CreativeEnergeticHappyFocusedUplifted,OrangeTreeFruitSweet,Kauai Electric is a Hawaiian landrace sativa that has been cultivated on the Powerline trail near Mt Waialeale also known as the rainiest place on Earth This hearty sativa exhibits a range of bright tropical colors and smells of passionfruit and guava The flavors are fresh and tropical with an aftertaste of skunk and earth Kauai Electric has a carefree cerebral energy while leaving the body light and blissful ,0
KellyHillGold,indica,5,HappyEnergeticEuphoricTalkativeAroused,PepperEarthyCoffee,Cultivated by Joseph Arthur Botanicals in Colorado Kelly Hill Gold is a 7030 indicadominant strain that crosses Acapulco Gold and Chemdawg 4 With buds that are large and full of orange pistils this strain gives off strong earthy notes and the smell of burnt coffee Averaging at 245 THC its potent effects will send you into a relaxed and euphoric state that can help alleviate anxiety and stress,1
KeralaKrush,sativa,4,EnergeticHappyHungryFocusedRelaxed,MangoSweetOrange,Kerala Krush by Flying Dutchmen is an 85 sativa strain that unites genetics from Skunk 1 and a South Indian sativa This uplifting sativa delivers a very smooth clear cerebral buzz with flavors of mango fruit and warm spice Patients may gravitate to this strain for relief of menstrual cramps and nausea,0
Khufu,indica,4,RelaxedEuphoricHappyFocusedSleepy,PungentSweetWoody,Khufu is an indicadominant hybrid from The Devils Harvest Seed Company that combines Cheese Afghani 1 and SFV OG genetics to excellent effect Growers can expect extremely high yields of potent Kushtype flowers with giant calyxes and very little leaf The effects of Khufu will leave you wanting nothing more than to gorge on snacks while glued to your favorite chair Patients treating pain anxiety nausea and insomnia may benefit from Khufus therapeutic effects,1
Kilimanjaro,sativa,4,HappyFocusedUpliftedCreativeEnergetic,LemonEarthySpicyHerbal,Kilimanjaro is a pure sativa landrace from the mountain slopes of Tanzania where it was originally cultivated for use in hunting and religious practice by the native population Tribes commonly referred to this strain as the elephant stomper and utilized it for its energetic hyper effects Its aroma carries notes of lemony citrus and fruit and Kilimanjaros tall growth makes it ideal for outdoor or greenhouse gardens,0
KillingFields,sativa,4,EnergeticHappyFocusedEuphoricUplifted,LemonCitrusPungent,Killing Fields is the result of some clever breeding by Sannies Seeds Using two of their own strains The One and Jack theyve come up with this sativa that is known for its complex aroma Killing fields packs a candy sugar and spice mix with notes of berry and citrus It feels like a treat especially for patients looking for something tasty Like many sativas this strain is slower to flower at 1113 weeks It grows tall so space is a must especially since these plants do best indoors When the buds do show up they will be large foxtails of dark green and blue This is one for sativa lovers with a strong cerebral feeling that lasts,0
KingLouis,indica,4,RelaxedSleepyHappyEuphoricHungry,EarthyWoodyPine,King Louis XIII might be most famous for making wigs on men de rigeur for the French aristocracy but in Southern California the name will bring to mind a popular indicadominantstrain This strain announces itself as many people did in the 1600s by its smell The difference is this monarchs odor is one thats meant to be enjoyed its dense nugs have an overwhelmingly piney smell with an earthy musk that will have you thinking of your last forest adventure Bred in part from OG Kush Louis XIII has a very similar spicy kush aroma Good for insomnia this strain often tests at over 20 THC,1
KingsBread,sativa,4,FocusedRelaxedCreativeUpliftedEuphoric,EarthyCitrusLemon,Said to be a sativa landrace from the Blue Mountains of Jamaica Kings Bread or Kings Breath delivers mellowing and euphoric cerebral effects Fingerlike bulbs reach out from the citrusscented buds wrapped in crystal trichomes Lambs Bread is counted among its progeny although Kings Breads lineage is not well documented Pain relief appetite stimulation and stress alleviation are just a few of the therapeutic benefits Kings Bread has to offer,0
KingKush,indica,4,RelaxedHappyHungryEuphoricSleepy,DieselSweetEarthy,Kings Kush bred by Green House Seedsderivesfrom OG Kush and the elusive Grape strainWith gradual but powerful effects Kings Kush is famous for its potency and shiny trichromes during flowering This strain comes across as sweet and sour with apowerful and tangy grape scent as well assome hints of lavenderThe flowering time for King Kush is approximately 9 weeks at which point purple and blue veins will appear onthe plant King KushsTHC content can be up to 20,1
Kiwiskunk,indica,3,HappyHungrySleepyArousedTingly,SpicyHerbalPungentWoody,In the late 1980s the Skunk invasion landed on New Zealands shores Kiwiskunk was introduced when a New Zealand Skunk variety met NYC Diesel adding a little something extra to its flavor profile This 7525 indicadominant strain gives off a very potent skunky smell with sweet and citrus flavor Youll likely be left with a happy but couchlocked feeling best enjoyed while curling up to a comedy movie,1
KobainKush,indica,4,HungryArousedRelaxedHappyEuphoric,EarthyAmmoniaChestnut,Kobain Kush is an indicadominant hybrid that crosses Pre98 Bubba Kush with White Lotus The goal of this breeding project by Red Eyed Genetics was to increase the yield stretch and overall vigor of the early Bubba Kush cutting to achieve shorter vegetative cycles and enhance the overall potency and bag appeal Subtle hints of purple begin to show late in the flowering period with Kobain Kush buds that emit a mixture of sweet coffee and earthy pine that is highlighted with diesel undertones The relaxing kick of indica effects will help calm stress and relax the body from head to toe,1
KonaGold,sativa,4,HappyUpliftedEnergeticEuphoricGiggly,TropicalPineappleOrange,Kona Gold is a sativa strain that has traveled far from its native origin the volcanic soils of Hawaiis Big Island Soaring cerebralfocused euphoria captures the mind while leaving the body light and functional making this sativa a perfect pair with or replacement for your morning cup of coffee A tropical medley of pineapple and citrus flavors are cut by a sharp sour aroma that could almost be compared to diesel fuel The authentic Kona Gold is unique to its mineralrich homeland but its replications overseas still have much to offer sativa enthusiasts,0
KoolAidSmile,indica,4,RelaxedHappyTalkativeUpliftedCreative,SageBerryGrape,KoolAid Smile by Andromeda Strains is a deep purple cross of fruity parents This robust resinproducing flower is the product of Purple Drink x Cherry Sauce and carries telltale notes of its complex lineage in both flavor and appearance Developing fat knotty colas that reek of grape candy KoolAid Smile is a flavorful crowdpleaser with indicadominant effects With a midlevel physical sedation coupled with a bright and whimsical mental state KoolAid Smile is sure to elevate your mood mute nausea and minor physical pain and ignite your appetite ,1
KosherKush,indica,4,RelaxedSleepyHappyEuphoricHungry,EarthyPungentWoody,Kosher Kush offered now in seed form from DNA Genetics originated in Los Angeles as a cloneonly strain Winner of High Times Cannabis Cups Best Indica in 2010 and 2011 as well as Best Strain in 2011 Kosher Kush produces staggering levels of THC with some samples testing over 29 Known as one of the most odiferous OG Kushrelated strains it has a unique yet familiar smell reminiscent of rich earth and fruit and is considered by many to be one of the tastiest smokes around The high experienced is typical of many heavy indica strains producing pronounced relaxation and pain relief with sleep often following close behind ,1
Kraken,indica,4,EuphoricHappyCreativeEnergeticRelaxed,ButterCitrusCheese,Kraken is a mythical strain of unknown parentage brought to us from Spanish breeder Buddha Seeds Breeding with power and production in mind this indica hybrid produces chunky dense buds with a blanket of crystal resin Producing big harvests and intensely euphoric effects this monster of an indica lives up to its name,1
KrishnaKush,indica,4,RelaxedHappyGigglyArousedSleepy,SweetBerryLavender,Krishna Kush by Colorado Seed Inc is a Kush growers dream This stout purple plant produces dense colas rich with glittering trichomes Combining elements of Lavender Big Skunk Korean Afghani and Super Skunk against the inhouse genetics of Gupta Kush this strain creates a deeply sedative smoke that perfumes the air with pungent floral undertones ,1
Kryptonite,indica,4,RelaxedHappyEuphoricCreativeGiggly,FloweryTropicalSweet,A mysterious cloneonly hybrid Kryptonite is rumored to be a cross between MendocinoPurps and Killer Queen created by breeders at the Bay Areas famed Oaksterdam University Known to produce THC levels up to of 25 this indicadominant strain is a good choice for those seeking to treat serious pain without the extreme sleepiness associated with some pure indicas Kryptonite features a musty tropical fruit smell and a sweet sugary flavor reminiscent of Cinderella 99 one of the parent strains to Killer Queen,1
KubbieKush,indica,3,RelaxedSleepyEuphoricHappy,BerryBlueberryFlowery,Kubbie Kush by Cresco Labs is an indicadominant cross between Lemon Alien and Pre98 Bubba Kush This flowers Alien lineage gives the buds density and copious resin production as well as a sweet floral terpene profile The Bubba Kush attributes are felt in the creeping physical sensation that weighs on the body without being overly sedative Kubbie Kush is a relaxing strain that is ideal for consumption near the end of the day and may help shrug off physical and mental stress,1
Kushadelic,indica,4,RelaxedSleepyEuphoricUpliftedFocused,PungentPineEarthy,Kushadelic from Soma Seeds mixes the potency of indica with the cerebral energy of a sativa in this G13 Haze and OG Kush cross Whether youre out socializing or enjoying your own company Kushadelic provides a comfortable versatile buzz in moderate doses The floral citrus aroma from Kushadelics Haze genetics pierces through dominant earthy and hashy notes Soma recommends growing Kushadelic in organic soil and allowing 10 to 11 weeks for its full flowering indoors,1
Kushberry,indica,4,RelaxedSleepyHappyUpliftedCreative,BerryEarthyLemon,Kushberry is the perfect blend of two West Coast flavorsBlueberryfrom Oregon and theOG Kushfrom LA The exotic flavor doesnt rival its strength it is one of DNA Genetics strongest strains Kushberry is knownfor relievingpainsleeplessnessandappetite loss,1
LakFederalReserve,indica,5,RelaxedTinglyHungryUpliftedCreative,LemonEarthySweet,Federal Reserve by Los Angeles Kush is another heavy indica cut out of Southern California Created by crossing SFV OG with a special Los Angeles Kush phenotype this strain offers deep relaxation and sedation Federal Reserves terpene profile is strong and pungent smelling of pine gas and skunk Its body effects can help sooth minor physical pain and help nullify stress and anxiety ,1
LaConfidential,indica,4,RelaxedHappySleepyEuphoricUplifted,SweetEarthyPine,LA Confidential is known as a very popular and successful strain Itsbuds have a frosty lime green appearanceand little purple leaves The taste is smooth and piney with a classic skunky aroma that does not linger for too long OverallLA Confidential is a wellrounded strain thatdelivers a fastapproaching sensation that is both psychedelic and super calming on the mind and body For newer patients seeking reliefLA Confidential can both lull youto sleep and treat acute pain,1
LaOg,indica,4,RelaxedEuphoricSleepyHappyTingly,EarthyBerryFlowery,LA OG is a potent variety of medical cannabis with an earthy taste and a powerful head and body high,1
LaUltra,indica,4,RelaxedEuphoricHappySleepyTingly,LemonChemicalDiesel,LA Ultra by Resin Seeds is a strong indica strain whose genetics are kept secret but its breeders and name hint at a LA Confidential and MK Ultra cross An 8020 indicadominant hybrid LA Ultra provides a mesmerizing trippy high that lends a spark to creativity if you can harness it This indica is spicy and fruity in fragrance and its buds grow with chunky fingerlike calyxes that are utterly drenched in resin,1
LaNina,sativa,4,UpliftedCreativeEnergeticTalkativeEuphoric,SweetEarthy,La Nia a close relative of El Niois a sativadominant hybridcrossbetween Haze and White Widow These large airy buds offer a mild sweet fruity aroma and clear functional effects that make this strain a great daytime choice Not recommended for beginning growers this tall plant requires judicious attention until flowering between 8 and 10 weeks,0
LambSBread,sativa,4,EuphoricCreativeHappyUpliftedEnergetic,EarthyWoodyPungent,Also called Lambs Breath Lambs Bread isa bright green and sticky sativa strain The effects have been known to give mass amounts of energy and positive introspection Stress subsides quickly from the Lambs Bread buzz whichcan helpease depression The origins of this plant comes from Jamaica and it has been reported that even Bob Marley himself has encountered this wonderful slice of cannabis genealogy,0
LasVegasPurpleKushBx,indica,5,SleepyHappyRelaxedArousedCreative,,Las Vegas Purple Kush BX is a cloneonly strain released in 2013 and has been described as Alphakronik Genes most potent indica This backcross consists of Las Vegas Purple Kush and Sin City Kush genetics creating a similar experience and aroma to Pre98 Bubba Kush without the coffee smell and with a slightly sweeter aroma This strain has been known to help with an array of ailments associated with physical pain and gastrointestinal issues,1
LashkarGah,indica,4,RelaxedEuphoricSleepyHungryHappy,EarthyPungentSweet,Lashkar Gah is an indica landrace strain named after its geographic origin in south Afghanistan Like other Afghani indicas Lashkar Gah is consistent in its delivery of powerful sedating effects that promote rest and relaxation Pain insomnia and other severe symptoms collapse under the weight of Lashkar Gahs heavy effects and a quick examination of its resincaked buds explains this indicas potency Your body may feel pinned down by Lashkar Gahs euphoric punch but your mind will likely float away blissfully as the burdens of stress and anxiety dissolve,1
LaughingBuddha,sativa,4,HappyEuphoricUpliftedEnergeticGiggly,TropicalSweetSpicyHerbal,Laughing Buddha is an awardwinning sativa 2003 High Times Cannabis Cup from Barneys Farm that grows fast and tall An earthy cross between Thai and Jamaican strains with asweet fruity smell that is broken up by hints of spice and provides a rich pungent smoke that will leave consumers feeling happy upbeat and will leave them giggling even when battling depressionThe oversized colas often need pruning and extra support but the added work pays off come harvest time when full frosty buds cover almost the entire plant,0
Lavender,indica,4,RelaxedHappySleepyUpliftedEuphoric,LavenderFlowerySweet,Built from strains around the world Lavender by Soma Seeds has its origins from Super Skunk Big Skunk Korean and Afghani HawaiianThis strain sometimes referred to as Lavender Kush has dense buds that give off a floral and spicy aroma It has a dark purple coloration at the ends of its leaves,1
LavenderHaze,sativa,4,EuphoricUpliftedEnergeticHappyRelaxed,LavenderFloweryEarthy,Lavender Haze is a lovely cross of G13 Haze and Lavender Its known for its dense flowers that usually include shades of purple The buds have a strong floral aroma that will make you think of a fresh sprig of lavender blooms This hybrid has some great balanced effects to both lift your mood and provide some strong body relaxation Light enough to pursue energetic activities but strong enough to erase pain and maybe ease you to sleep Lavender Haze is a great daytime choice Plants of this strain can be grown both indoors and out with indoor flowering happening between 8 and 9 weeks,0
LedaUno,sativa,5,TinglyFocusedHungry,,A Cannabis Cup finalist in the sativa category Leda Uno will undoubtedly raise your spirits The team at KC Brains took itsKC 33 crossed with a Brazilian female landrace and crossed it once more with itsKC 606 and Leda hybrid The result is a smooth lemony hybrid with beautiful chunky light green buds Best when grown in soil this plant can shoot to 10 feet outdoors and produces considerable yields,0
LeeRoy,indica,4,RelaxedEuphoricSleepyUpliftedTingly,LimeLemonCitrus,Lee Roy by Rare Dankness Seeds is a connoisseurgrade sativadominant strain with incredible trichome production Created by blending Triangle Kush with Rare Dankness 2 Lee Roy offers a Kushforward aroma intermixed with lemon and lime The plants prefer cooler temperatures and the yield is healthy if not generous Utilize Lee Roy to contend with ADDADHD depression gastrointestinal disorders and nausea Rare Dankness Seeds also noted that this resinous strain is wellsuited for hash production ,1
LegendOg,indica,4,RelaxedSleepyHappyCreativeFocused,PungentEarthyPine,Legend OG is a presumed OG Kush phenotype that offers a fresh take on a classic Known for tart floral and pungent terpenes Legend OG stays true to its Kush background Heavily sedating in large doses Legend OG works hard to relax the consumer by elevating the mind while soothing aches and pains throughout the body Its sleepy qualities also make it a solid choice before bedtime but monitor your dosage as highTHC varieties can overstimulate some minds,1
LegendOfNigeria,sativa,0,,,Legend of Nigeria by Swamp Boys Seeds is a cross of SBSs cloneonly Legend OG and itsown beloved Nigerian strain This sativadominant hybrid sprouts mediumsized plants that need space to stretch and flower Legend of Nigeria produces dense buds that gives off a potent blueberry and fuel aroma that is just as rich on the palate This strain produces a largerthanaverage yield with proper vegetative staging and training and has an approximate 63day flowering time,0
LegendaryLemon,sativa,4,ArousedEuphoricRelaxedCreativeSleepy,ApricotChemicalBlueberry,Legendary Lemon is a sativadominant strain that blends two Mexican speed demons Zacatecas and Oaxaca with two zesty zingers Lemon Skunk and Lemon Kush This tangy bud hits hard with a strong cerebral buzz and offers whimsical euphoria that makes consumers feel light on their feet Enjoy this strain to defeat depression or to frontload strong mood enhancing effects The flavor has been described as rich lemon custard,0
LemonBubble,sativa,4,HappyEnergeticTalkativeEuphoricUplifted,LemonCitrusSweet,Lemon Bubble from Pheno Finder Seeds is an awardwinning strain that combines Super Lemon Haze with Silver Bubble to create a potent sativa that is applauded for its emphasis on flavor Recently Lemon Bubble took 3rd place in the Sativa Cup at the 2014 High Times Cannabis Cup Its citrus flavors are highlighted by sweet lemons and finish with an earthy Haze undertone to produce happy thoughts and a soothing sense of euphoria,0
LemonCake,sativa,4,RelaxedUpliftedHappyEnergeticEuphoric,LemonCheeseSweet,Lemon Cake by Heavyweight Seeds is a potent sativadominant strain with sweet and musky aromas Also known as Lemon Cheesecake Lemon Cake is the cross of Lemon Skunk and a dangerously powerful Cheese according to HS With a nine to ten week flowering time squat morphology and abundant yield Lemon Cake is kind to growers especially those outdoors This strain emits a pungent citrus aroma with a musky Cheese undertone Heavyweight Seeds recommends consuming this strain to combat stress loss of appetite and minor physical discomfort,0
LemonCrme,sativa,0,,,Lemon Crme is a unique and unstable sativadominant strain created by Love Genetics It was brought into existence by crossing Lemon Jack with DNA Genetics Sour Cream a Sour Diesel heirloom x G15 Haze The breeder notes that this strain is prone to produce three distinct phenotypes with varied aromas such as Earl Grey tea lemon Pinesol and American sweet tea Lemon Crme is a rare cut due to its instability but has gone on to influence other Love Genetics crosses like Prometheus This strain has an approximate flowering time of 69 to 77 days,0
LemonG,sativa,4,RelaxedEuphoricHappyUpliftedCreative,LemonSweetPungent,Lemon G is the pride of Ohio representing the Midwest among all the Dutch and West Coast strains out there Potent wellfocused and even this sativa hybrid is a daughter of Original G13As this is not a pure sativa relaxing indica effects tend to show up first after consuming Lemon G Over time however the upbeat euphoric and giggly sativa effects begin to emerge Lemon G is a sociable strain and as the name suggests has a strong lemon fragrance Tastewise this strain is fairly mellow and does not necessarily exhibit the strong citrus properties found in its scent,0
LemonHaze,sativa,4,HappyUpliftedEuphoricEnergeticRelaxed,LemonCitrusSweet,Lemon Haze has been characterized as smelling of fresh peeled lemon slices with a similar taste Its buds appear to be green and yellow with amber hairs on the trichomes giving it the yellow tint This strains THC has been measured at about 1520 with aCBD of 038,0
LemonIce,sativa,4,EnergeticEuphoricHappyCreativeFocused,LemonCitrusDiesel,Lemon Ice by Ripper Seeds is a sativadominant strain created from Lemon Haze x Afghani This collision of opposites creates a unique strain with columnar bud structures that adapts well to sea of green growing methods The strain is also known for its furry buds knotted with pistils and a spicy citrusforward aroma Lemon Ice does have a longer than average flowering time of 7585 days but patient gardeners are rewarded with a more than generous yield Ripper Seeds defines the effects as bearable which translates to mind your dosage as strong sativa effects can be hard to handle for those prone to anxiety ,0
LemonJack,sativa,4,FocusedEnergeticHappyUpliftedCreative,LemonCitrusSweet,While Lemon Jack has yet to earn the reputation of its father Jack Herer this sativa deserves some respect A potent strain featuring a distinct chemicallike lemon smell Lemon Jack has strong psychoactive effects Focused and energizing this strains effects draw from both its Jack Herer and Lemon Kush heritage Like a strong cup of coffee Lemon Jack is a daytime strain Patients who suffer from headaches and fatigue tend to find relief with this strain though it may not be the best choice for those who suffer from anxiety,0
LemonMeringue,sativa,4,UpliftedHappyEnergeticCreativeRelaxed,LemonCitrusSweet,Lemon Meringue by Exotic Genetix is a sweet zestful cross of Lemon Skunk and Cookies and Cream This pungent combo emits a variety of aromas including citrus diesel and nuttiness but at the center of this bouquet is a tart slice of lemon meringue pie with a fat dollop of whipped cream on top Lemon Meringue offers uplifting mental effects and sativadriven energy that encourages physical activity This strains subtle motivational qualities and pleasant euphoria make it a goto for folks combating fatigue depression and minor headaches  ,0
LemonPie,sativa,4,EnergeticEuphoricUpliftedTalkativeHappy,LemonCitrusDiesel,Lemon Pie from Leafs by Snoop is a sativadominant hybrid that will bring about relaxation and creativity It carries hints of citrus spice and diesel flavor in dense orangehaired buds Testing over 22 in THC this powerful strain will have you out and about doing your favorite indoor or outdoor activities,0
LemonSativa,sativa,4,HappyEuphoricEnergeticCreativeFocused,LemonCitrusEarthy,Lemon Sativa is not your typical highenergy strain While most sativas can be similar to a strong cup of coffee Lemon Sativa tends to provide patients with a relaxing heavy body sensation As the name suggests this strain has an aroma similar to a lemon drop candy Lemon Sativa is great for patients who would like to relax while doing housework or catching up on other lowkey tasks,0
LemonThai,sativa,4,FocusedHappyCreativeTalkativeEnergetic,LemonCitrusEarthy,Lemon Thai is great for those looking for a little extra creative spark Originally produced by Dutch Flowers Lemon Thai is a cross between a Thai sativa and a Hawaiian strain Taking after its Thai parentage the effects of this strain are extremely cerebral allowing users to feel introspective focused and thoughtful This strain features a pleasant lemonymint taste and typically flowers in 10 weeks Lemon Thai produces high yields both indoors and outdoors but appreciates a lot of space to grow,0
Lennon,sativa,0,,,Lennon is a dizzying sativadominant strain from Pyramid Seeds Its a cross between Jack Herer and a pure Haze giving the strain heady uplifting qualities This sativa is not for the faint of heart Lennons potent psychoactive effects can be overwhelming for uninitiated consumers leading to dizziness and disorientation Mind your dosage and enjoy this strains citrus liqueur flavor alongside titillating mental and physical stimulation ,0
Leonidas,sativa,4,FocusedArousedUpliftedCreativeEnergetic,GrapeLavenderViolet,Leonidas is a Super Silver Haze variation produced by Canadian LP Tweed With genetic roots stemming from Haze Skunk 1 and Northern Lights this sativadominant strain lifts you into a state of unencumbered happiness and focus Citrus flavors mingle with a sweet and sour bite inherited from Leonidas Skunk ancestor providing a flavorful precursor to the weightless euphoria to come Like the Spartan warlord this strain was named after Leonidas delivers a swift kick to depression fatigue and stress and sends them down a bottomless black pit,0
LightOfJah,sativa,4,HappyUpliftedEnergeticEuphoricRelaxed,SpicyHerbalTropicalPungent,Light of Jah is a sativadominant cannabis strain whose name is often used interchangeably with Jack Herer but may also refer to a Jack Herer and Afghani hybrid This hybridized rendition still leans toward the sativa side with uplifting effects that fuel creativity and positive moods Its flavor is a sweet combination of tropical fruit and hashy peppery spice,0
KeyLimeHaze,sativa,4,HappyUpliftedEuphoricEnergeticRelaxed,LimeCitrusSweet,Unknown,0
LimePurpleMist,indica,4,HappyRelaxedTinglySleepyUplifted,BerryLimeSweet,Lime Purple Mist is an indicadominant strain with deeply relaxing qualities that taper in slowly over time Its soothing fullbody qualities are a great way to unwind after a long day or for banishing bad moods The highTHC content of Lime Purple Haze shakes the appetite wide awake so be sure to have provisions prepared,1
LimeSkunk,sativa,4,UpliftedCreativeHappyEuphoricEnergetic,LimeCitrusPungent,Lime Skunk not to be confused with Lime Green Skunk is the odoriferous offspring of DNA Genetics Lemon Skunk and Exotic Genetix Green Ribbon BX and the latest offering from Cresco Labs This sativadominant strain by Exotic Genetix boasts THC content and an unparalleled aroma of fresh limes Its terpene profile is dominated by high concentrations of limonene and pinene lending its racy yet clearheaded buzz to consumers looking to enjoy a flavorful connoisseurgrade strain while maintaining a high level of productivity,0
LimeSorbet,indica,5,RelaxedEuphoricSleepyHappyGiggly,LimeCitrusSweet,Lime Sorbet by Cresco Labs is the descendent of the storied Katsu cultivar of Bubba Kush andLime Skunk Blending these distinct strains produced a remarkable phenotype that is exceptional in flavor and versatile in effect This indicahas a pungent earthy aroma intermixed with the tart fresh flavor of lime that lingers on the exhale Lime Sorbets Kush parentage lends this strain pleasant physical relaxation while subduing both anxiety and stress,1
Limon,sativa,4,HappyCreativeEuphoricEnergeticGiggly,LemonCitrusDiesel,Created by LivWell Limon is a sativadominant strain that blends Sour Diesel Strawberry Diesel and NYC Diesel With notes of diesel and skunk in flavor these bright green frosty buds will leave you with an uplifting and longlasting cerebral buzz,0
LionsGate,indica,4,HappyUpliftedEnergeticFocusedCreative,MentholSageCitrus,Lions Gate is a mellow indica strain with a skunky aroma and longlasting effects that radiate throughout the body In defiance of indica stereotypes Lions Gate provides an uplifting buzz conducive for focus and creativity For growers cultivating this indica indoor gardens flower in about 8 weeks,1
LiquidButter,indica,4,RelaxedSleepyHappyTalkativeGiggly,ButterEarthyWoody,Liquid Butter will have you melting into the couch or your favorite tub of ice cream An extremely potent indica this strain has powerful musclerelaxing effects and is great for appetite stimulation Known for a taste that lives up to its namesake the strong piney scent this strain gives off is slightly misleading Patients who suffer from pain and anxiety typically have success with this strain but its best to use Liquid Butter when you dont have a lot to get done,1
Locomotion,indica,4,EuphoricHappyRelaxedUpliftedAroused,EarthySweetPungent,Locomotion is a 7030 indicadominant strain by Heroes of the Farm A cross between Blue Diesel and Timewreck this strain delivers a dreamy cerebral high while soothing the body Locomotions soursmelling buds bloom with deep hues of silvery purple Novices take caution with this potent indica a little bit goes a long way,1
LovePotion,sativa,4,HappyTalkativeEuphoricRelaxedEnergetic,SkunkCitrusGrapefruit,Love Potion 1 is a 70 sativa strain bred by Reeferman Seeds G13 was crossed with a Santa Marta Colombian Gold and crossed with the Colombian Gold again to achieve this skunky lemonflavored sativa hybrid,0
LovePotion9,indica,4,EuphoricHappyTalkativeFocusedEnergetic,SweetFloweryHoney,Love Potion 9 is an indicadominant strain with a sweet fruity flavor and potent effects best suited for evening use,1
